2026-02-26 21:38:58,700 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26MINLAC-MIN | Best Bid: (0.74, 29540.0) | Best Ask: (Decimal('0.7500'), 1336991.0)
2026-02-26 21:38:58,714 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.6100'), 12683.0)
2026-02-26 21:38:58,716 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 5506.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,716 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7458.0)
2026-02-26 21:38:58,731 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-LAL | Best Bid: (0.72, 2509.0) | Best Ask: (Decimal('0.6000'), 2378.0)
2026-02-26 21:38:58,732 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7458.0)
2026-02-26 21:38:58,732 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.39, 7366.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,733 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7030.0)
2026-02-26 21:38:58,734 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7030.0)
2026-02-26 21:38:58,735 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 10716.0)
2026-02-26 21:38:58,749 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.6100'), 12683.0)
